Creature,,,Type,Race,Class,Subclass,Identity,Size,Movement,Darkvision,Weight,XP,Actions/Spells,Weapons,Grenades,Boss,Imunities,,Vulnerabilities,Family,Faction,Title
Kristeen Hazel,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,Garron Flintsplitter (husband)Ramona Flintsplitter (mother-in-law)Gizelle Flintsplitter (sister-in-law),,
Zealot Krizt,,,Humanoid,Human,Paladin,,Female,Medium,9.0m,,75.0kg,140,"Branding Smite,Cleave,Lacerate,Lay on Hands: Greater Healing,Lay on Hands: Lesser Healing,Main Hand Attack,Ranged Attack,Rush Attack,Thunderous Smite,Abjure Enemy","Shortbow,Halberd",,FALSE,,,,,Cult of the Absolute,
Krolla,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,10,"Flourish,Lacerate,Main Hand Attack",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,
Dead Goblin Raider,,,Humanoid,Goblin,Warlock,,Male,Small,9.0m,12.0m,35.0kg,2,,,,FALSE,,,,,Cult of the Absolute,
Night Blade Kryss,,,Humanoid,Dwarf,,,Female,Medium,7.5m,30.0m,75.0kg,320,Ranged Attack,Heavy Crossbow,,FALSE,,,,,Cult of Bhaal,
Stone Guard Kur,,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,24.0m,75.0kg,75,"Brace (Ranged),Ensnaring Strike (Ranged),Hunter's Mark,Main Hand Attack,Piercing Shot,Piercing Strike,Ranged Attack,Shove","Dagger,Heavy Crossbow",,FALSE,,,,,Clan Flameshade,
Ardent Kur'ashk,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Flourish,Main Hand Attack,Misty Step,Piercing Strike,Psychic Rend",Githyanki Shortsword,,FALSE,,,,,Crèche Y'llek,
Fist Kuthbert,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Piercing Strike,Rush Attack,Sweeping Attack","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Fist Kyberos,,,Humanoid,Human,Ranger,,,Medium,9.0m,,75.0kg,200,"Brace (Ranged),Ensnaring Strike (Ranged),Piercing Strike,Ranged Attack,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Kydden,,,Humanoid,Dwarf,,,Male,Medium,7.5m,9.0m,75.0kg,1,,,,FALSE,,,,,,
Kyr’das,,,Humanoid,Githyanki,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,Crèche Y'llek,
Raider Kyrr'a'ath,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Brace (Ranged),Misty Step,Piercing Shot,Ranged Attack,Rally,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,Crèche Y'llek,
Lacy Dancer,,,Humanoid,Elf,,,Female,Medium,9.0m,16.0m,75.0kg,320,"Flourish,Main Hand Attack,Piercing Strike",Shortsword,,FALSE,,,,,Zhentarim,
Lady Ague,,,Humanoid,Human,Fighter,,,Medium,9.0m,,75.0kg,320,"Main Hand Attack,Cunning Action: Dash",Rapier +1,,FALSE,,,,,The Guild,Nine-Fingers' Bodyguard
Lady Croup,,,Humanoid,Half-elf,Bard,,Female,Medium,9.0m,12.0m,75.0kg,320,"Blindness,Bardic Inspiration,Brace (Ranged),Cunning Action: Dash,Faerie Fire,Hamstring Shot,Ranged Attack,Sneak Attack (Ranged)",Longbow +1,,FALSE,,,,,The Guild,Nine-Fingers' Bodyguard
Lady Durinbold's Attendant,,,Humanoid,Elf,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,250,"Flourish,Lacerate,Main Hand Attack",Scimitar +1,,FALSE,,,,,,
Lady Durinbold's Bodyguard,,,Humanoid,Half-orc,Fighter,Battle Master,Female,Medium,,,,,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack,Feinting Attack",Longsword +1,,FALSE,,,,,,
Lady Flux,,,Humanoid,Elf,Barbarian,Wildheart,Female,Medium,9.0m,12.0m,75.0kg,320,"Main Hand Attack,Rage: Wolf Heart,Reckless Attack,Versatile Sneak Attack (Melee),Cunning Action: Dash",Greataxe +1,,FALSE,,,,,The Guild,Nine-Fingers' Bodyguard
Lady Lockjaw,,,Humanoid,Dwarf,Rogue,,Female,Medium,7.5m,12.0m,75.0kg,320,"Cunning Action: Dash,Sneak Attack (Melee),Sneak Attack (Ranged), Ranged Attack","Longbow +1,Dagger",,FALSE,,,,,The Guild,Nine-Fingers' Bodyguard
Lady Oberon's Bodyguard,,,Humanoid,Dragonborn,Fighter,Battle Master,Female,Medium,9.0m,,75.0kg,250,"Cleave,Main Hand Attack,Pommel Strike,Trip Attack (Melee)",Greatsword +1,,FALSE,,,,,,
Lady Quinsy,,,Humanoid,Human,Fighter,,,Medium,9.0m,,75.0kg,320,"Main Hand Attack,Cunning Action: Dash",Rapier +1,,FALSE,,,,,The Guild,Nine-Fingers' Bodyguard
Lady Whitburn,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,35.0kg,1,,,,FALSE,,,,Lord Whitburn (spouse)Lady Madeline Whitburn (family member),,
Lae'zel,,,Humanoid,Githyanki,Fighter,Battle Master,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,The Githyanki Warrior
Laila,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Lakrissa,,,Humanoid,Tiefling,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,20,"Brace (Ranged),Hamstring Shot,Main Hand Attack,Ranged Attack",Longbow,,FALSE,,,,,Tiefling refugees,
Sharran Fidelian Lamona,,,Humanoid,Elf,Wizard,,Female,Medium,9.0m,24.0m,75.0kg,320,"Beckoning Darkness,Bone Chill,Darkness,Main Hand Attack,Shadow Step,Topple",Quarterstaff,,FALSE,,,,,Church of Shar,
Harper Lanni,,,Humanoid,Halfling,Ranger,,Female,Small,7.5m,,35.0kg,110,"Hamstring Shot,Main Hand Attack,Piercing Strike,Ranged Attack","Longbow,Dagger",,FALSE,,,,,Harpers,
Gondian Lanpos Biggs,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,8,,,,FALSE,,,,Manser Biggs (husband)Grindo Biggs (son)Hastar Biggs (son),Church of Gond,
Larca Mena,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Fist Larche,,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,12.0m,75.0kg,140,"Brace (Ranged),Ensnaring Strike (Ranged),Piercing Shot,Ranged Attack,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Apprentice Laridda,,,Humanoid,Gnome,,,Female,Small,7.5m,24.0m,35.0kg,75,,,,FALSE,,,,Philomeen (ex-partner),Clan Ironhand,
Fist Larys,,,Humanoid,Tiefling,Fighter,Battle Master,Female,Medium,9.0m,12.0m,75.0kg,200,"Backbreaker,Concussive Smash,Main Hand Attack,Trip Attack (Melee),Weakening Strike",Warhammer,,FALSE,,,,,Flaming Fist,
Harper Lassandra,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,75,"Lacerate,Main Hand Attack,Off-Hand Attack (Melee)","Handaxe +1,Torch",,FALSE,,,,,Harpers,
Captain Leafsong,,,Humanoid,Elf,Druid,Circle of the Moon,Male,Medium,9.0m,12.0m,75.0kg,400,"Hold Person,Lesser Restoration,Main Hand Attack,Polymorph,Sunbeam,Thorn Whip,Wild Shape: Earth Myrmidon",Scimitar,,FALSE,,,,,Harpers,
Leary Dowse,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Leepak Brislen,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Dharin Brislen (husband)Bunny (daughter)Blossom (daughter),,
Lens the Journalist,,,Humanoid,Tiefling,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Lester Farrower,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Leucis Kallista,,,Humanoid,Tiefling,,,Male,Medium,9.0m,9.0m,25.0kg,,,,,FALSE,,,,Rozes Kallista (wife)Iados Kallista (son)Nemi Kallista (daughter),,
Dead Cultist,,,Humanoid,Human,Paladin,,,Medium,9.0m,,75.0kg,8,,,,FALSE,,,,,Cult of the Absolute,
Manip Leythim,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,250,Sweeping Attack,,,FALSE,,,,Henrietta Hhune (ex-fiancé),Flaming Fist,
Li'l Fezmor,,,Humanoid,Human,Rogue,,Female,Small,9.0m,,25.0kg,0,,,,FALSE,,,,,The Guild,Fetcher's Brats
Lia,,,Humanoid,Tiefling,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,20,Ranged Attack,Shortbow,,FALSE,,,,Rolan (brother)Cal (brother),Tiefling refugees,
Feloguard Liadan,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,320,"Main Hand Attack,Rush Attack,Voice of Command",Spear,,FALSE,,,,,Cult of Bane,
Liam,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Blaze Liara Portyr,,,Humanoid,Human,Fighter,Battle Master,Female,Medium,9.0m,,75.0kg,320,"Cleave,Flaming Fury,Lacerate,Main Hand Attack,Prepare",Greataxe +1,,FALSE,,,,Duke Dillard Portyr (uncle),Flaming Fist,Commander of the Flaming Fist Headquarters
Librarian Eternal Debtor,,,Undead,Skeleton,,,,Medium,9.0m,12.0m,20.0kg,210,"Bone Chill,Forever Indebted",,,FALSE,,,,,House of Hope,
Harper Lilineth,,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,12.0m,75.0kg,110,"Hamstring Shot,Main Hand Attack,Piercing Strike,Ranged Attack","Longbow,Dagger",,FALSE,,,,,Harpers,
Lilly Beanbottom,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,,,,,FALSE,,,,,,
Gondian Lilly Tilly,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,35.0kg,140,"Acid Splash,Concussive Smash,Grease,Main Hand Attack,Melf's Acid Arrow,Misty Step",Light Hammer,,FALSE,,,,,Church of Gond,
Limeburn Sphagwood,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,250,"Acid Splash,Main Hand Attack,Melf's Acid Arrow,Piercing Strike,Ray of Sickness",Dagger,,FALSE,,,,,Cult of Bane,
Professor Limeleech,,,Humanoid,Drow,Wizard,,Female,Medium,9.0m,16.0m,75.0kg,250,"Blight,Cloudkill,Misty Step,Web,Wild Shape: Spider",,,FALSE,,,,,Society of Brilliance,Society of Brilliance
Limmy,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Ardent Lin'a'an,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Flourish,Main Hand Attack,Misty Step,Piercing Strike,Psychic Rend,Sleep",Githyanki Shortsword,,FALSE,,,,,Crèche Y'llek,
Linsella,,,Humanoid,Halfling,Ranger,,Female,Small,7.5m,,35.0kg,110,"Lacerate,Main Hand Attack,Mobile Shot,Piercing Shot,Ranged Attack","Hand Crossbow,Cleaver",,FALSE,,,,,Cult of the Absolute,True Soul of the Absolute
Fist Lionel,,,Humanoid,Human,Ranger,,Male,Medium,9.0m,,75.0kg,200,"Brace (Ranged),Ensnaring Strike (Ranged),Ranged Attack,Piercing Shot,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Prelate Lir'i'c,,,Humanoid,Githyanki,Monk,Way of the Open Hand,Female,Medium,13.5m,,75.0kg,500,"Ki Resonation: Blast,Ki Resonation: Punch,Ki Resonation: Punch (Bonus Action),Step of the Wind: Disengage,Unarmed Strike (Monk)",,,TRUE,,,,,Warriors of the Comet,Chief of Orpheus' Honour Guard
Listelia Dryselis,,,Humanoid,Dragonborn,,,Female,Medium,9.0m,,100.0kg,1,,,,FALSE,,,,Droralias Dryselis (sister),Knights of the Shield,
Listless,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Reaper of Bhaal Liya,,,Humanoid,Human,,,,Medium,9.0m,30.0m,75.0kg,400,"Main Hand Attack,Shroud Self",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Devastator Lizabett,,,Humanoid,Hobgoblin,Wizard,,Male,Medium,9.0m,16.0m,75.0kg,400,"Fire Bolt,Chromatic Orb: Fire,Main Hand Attack,Topple",Quarterstaff,,FALSE,,,,,Cult of Bhaal,
Iron Consul Lo,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,320,"Main Hand Attack,Voice of Command",Spear +1,,FALSE,,,,,Cult of Bane,
Lo Blank,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,250,"Brace (Ranged),Hamstring Shot,Ranged Attack",Longbow,,FALSE,,,,,The Guild,
Lobo Denysse,,,Humanoid,Gnome,Barbarian,Wildheart,Female,Small,7.5m,12.0m,35.0kg,250,"Rage: Wolf Heart,Reckless Attack,Sneak Attack (Melee)",,,FALSE,,,,,,
Lochan,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,200,"Cleave,Lacerate,Rush Attack,Trip Attack (Melee), Main Hand Attack",Halberd,,FALSE,,,,,Flaming Fist,
Locke,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,75.0kg,1,Unarmed Strike,,,FALSE,,,,Komira (wife)  Arabella (daughter),Tiefling refugees,
Lockhorn,,,Humanoid,Tiefling,,,Female,Medium,9.0m,12.0m,1.0kg,1,,,,FALSE,,,,,,
Loic,,,Humanoid,Halfling,Fighter,,Male,Small,7.5m,,35.0kg,20,"Concussive Smash,Main Hand Attack",Club,,FALSE,,,,,Circle of the Emerald Grove,
Lolo Fuzzletoes,,,Humanoid,Halfling,,,,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Sharp-Eye Lora,,,Humanoid,Goblin,Ranger,,Female,Small,9.0m,12.0m,35.0kg,75,"Ensnaring Strike (Ranged),Hamstring Shot,Nimble Escape,Ranged Attack,Worg Companion",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Lora,,,Humanoid,Human,Cleric,Light Domain,Female,Medium,9.0m,,75.0kg,250,"Guiding Bolt,Radiance of the Dawn,Sacred Flame,Spirit Guardians",,,FALSE,,,,Vanra Bergauz (Daughter)Lenore the Fleet (Mother),,
Lord Amber's Bodyguard,,,Humanoid,Half-elf,Monk,,Male,Medium,15.0m,12.0m,75.0kg,250,Unarmed Strike,,,FALSE,,,,,,
Lord Jannath's Bodyguard,,,Humanoid,Human,Barbarian,,,Medium,9.0m,,75.0kg,250,"Disarming Strike,Frenzied Strike,Main Hand Attack,Piercing Strike,Reckless Attack",Trident +1,,FALSE,,,,,,
Lord Portyr's Attendant,,,Humanoid,Human,Wizard,,,Medium,9.0m,,75.0kg,250,"Fire Bolt,Main Hand Attack,Scorching Ray",Quarterstaff,,FALSE,,,,,,
Lord Portyr's Bodyguard,,,Humanoid,Half-elf,Ranger,,Male,Medium,9.0m,12.0m,75.0kg,250,"Hail of Thorns,Hamstring Shot,Ranged Attack",Longbow,,FALSE,,,,,,
Lord Shattershield's Attendant,,,Humanoid,Gnome,Ranger,,Male,Small,7.5m,12.0m,35.0kg,250,"Hunter's Mark,Mobile Shot,Piercing Shot,Ranged Attack",Hand Crossbow +1,,FALSE,,,,,,
Lord Shattershield's Bodyguard,,,Humanoid,Halfling,Wizard,,Male,Small,7.5m,,35.0kg,250,"Armour of Agathys,Main Hand Attack,Ray of Frost,Witch Bolt",Quarterstaff,,FALSE,,,,,,
Lord Whitburn,,,Humanoid,Human,,,Male,Medium,9.0m,,35.0kg,1,,,,FALSE,,,,Lady Whitburn (spouse)Lady Madeline Whitburn (family member),,
Lorin,,,Humanoid,Elf,Wizard,,Male,Medium,9.0m,9.0m,75.0kg,10,"Blindness,Main Hand Attack,Piercing Strike,Shocking Grasp",Dagger,,FALSE,,,,,,
Lorlarrio,,,Humanoid,Dwarf,Bard,College of Lore,,Medium,7.5m,24.0m,75.0kg,250,"Combat Inspiration,Misty Step,Perform (Flute),Polymorph,Vicious Mockery,Tasha's Hideous Laughter",,,FALSE,,,,,Society of Brilliance,Society of Brilliance
Lorna Esthelian,,,Humanoid,Half-elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Lorroakan,,,Humanoid,Human,Wizard,Evocation School,Male,Medium,10.0m,,10.0kg,400,"Chromatic Orb: Poison, Cone of Cold, Elemental Retort, Fire Bolt, Fireball, Fly (class action), Lightning Bolt, Mirror Image, Misty Step, Poison Spray, Ray of Frost, Shocking Grasp",,,TRUE,,,,,,
Lorroakan's Projection,,,Humanoid,,,,,Medium,9.0m,,75.0kg,250,,,,FALSE,,,,,,
Geezer Loryss,,,Humanoid,Human,,,,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,,,
Losiir,,,Humanoid,Githyanki,Fighter,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Fist Loudstone,,,Humanoid,Dwarf,Ranger,,Male,Medium,7.5m,12.0m,75.0kg,200,"Brace (Ranged),Ensnaring Strike (Ranged),Piercing Shot,Ranged Attack,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Gondian Lowa,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,35.0kg,250,"Burning Hands,Fire Bolt,Misty Step,Scorching Ray,Thunderwave",,,FALSE,,,,,Church of Gond,
Loyal Eternal Debtor,,,Humanoid,Human,,,,Medium,9.0m,12.0m,75.0kg,1,Forever Indebted,,,FALSE,,,,,House of Hope,
Lu La Forza,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,320,,,,FALSE,,,,Bendobrus (lover),Church of Gond,Chief Artificer Forza
News Hawker Luan,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Lucretious,,,Humanoid,Elf,Wizard,Necromancy School,Female,Medium,9.0m,12.0m,75.0kg,200,"Animate Dead: Skeleton Squad,Arms of Hadar,Blight,Bone Chill,Hunger of Hadar,Inflict Wounds",,,FALSE,,,,,Circus of the Last Days,Bringer of the Night
Lug,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Lugarrio,,,Humanoid,Halfling,,,Male,Small,7.5m,,75.0kg,320,"Flourish,Main Hand Attack,Piercing Strike",Shortsword,,FALSE,,,,,Zhentarim,
Strangler Luke,,,Humanoid,Human,Monk,,,Medium,9.0m,30.0m,75.0kg,400,Throat Punch,,,FALSE,,,,,,
Lunkbug,,,Humanoid,Gnome,,,Male,Small,7.5m,24.0m,35.0kg,75,,,,FALSE,,,,Beldron (husband),Clan Ironhand,
Lurgan,,,Humanoid,Dwarf,Cleric,,Male,Medium,7.5m,24.0m,75.0kg,75,"Concussive Smash,Glyph of Warding: Lightning,Guiding Bolt,Healing Word,Invisibility (Duergar),Main Hand Attack,Sacred Flame,Silence",Light Hammer,,FALSE,,,,,,
Veteran Raider Ly'iss,,,Humanoid,Githyanki,,,,Medium,9.0m,,75.0kg,250,"Ranged Attack,Misty Step,Ensnaring Strike (Ranged)",Githyanki Crossbow,,FALSE,,,,,Githyanki (Faction),
Lyldara,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Harper Lymn,,,Humanoid,Tiefling,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,90,"Brace (Ranged),Hail of Thorns,Hamstring Shot,Ranged Attack",Longbow,,FALSE,,,,,Harpers,
Lyrux Goldthroat,,,Humanoid,Dragonborn,,,Female,Medium,9.0m,,100.0kg,320,,,,FALSE,,,,,The Guild,
Death's Head of Bhaal M'alice,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,250,"Flourish,Lacerate,Main Hand Attack,Piercing Strike,Stunning Gaze",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Ember Gish'ra M'i'hayk,,,Humanoid,Githyanki,Monk,Way of the Four Elements,Male,Medium,13.5m,,75.0kg,200,"Embrace of the Inferno,Flames of the Phoenix,Flurry of Blows,Step of the Wind: Dash,Unarmed Strike (Monk)",,,FALSE,,,,,Warriors of the Comet,
Ma Festina,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Zerillo (child),,
Veteran Warrior Ma'athal,,,Humanoid,Githyanki,,,,Medium,9.0m,,75.0kg,200,"Disarming Attack (Melee),Enhance Leap,Main Hand Attack,Second Wind",Githyanki Greatsword,,FALSE,,,,,,
Madalitso,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Nafula (daughter),,
Maddala Deadeye,,,Humanoid,Human,Rogue,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Madeline Whitburn,,,Humanoid,Elf,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,⁠WhitburnLady Whitburn (familiy member)Lord Whitburn (family member),,Lady of Baldur's Gate
Fist Madigan,,,Humanoid,Human,Ranger,,Male,Medium,9.0m,,75.0kg,200,"Brace (Ranged),Ensnaring Strike (Ranged),Ranged Attack,Piercing Shot,Silence,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Fist Healer Madstene,,,Humanoid,Dwarf,Cleric,,,Medium,7.5m,12.0m,75.0kg,10,"Aid,Backbreaker,Calm Emotions,Command: Grovel,Concussive Smash,Crusader's Mantle,Main Hand Attack,Mass Cure Wounds,Sacred Flame,Weakening Strike",Warhammer,,FALSE,,,,,Flaming Fist,
Feloguard Maeve,,,Humanoid,Half-elf,,,Female,Medium,9.0m,12.0m,75.0kg,320,"Main Hand Attack,Rush Attack,Voice of Command",Spear,,FALSE,,,,,Cult of Bane,
Maggie Ni Chuirc,,,Humanoid,Human,Fighter,Battle Master,Female,Medium,9.0m,,75.0kg,250,"Disarming Strike,Main Hand Attack,Menacing Attack (Melee)",Spear,,FALSE,,,,Aideen Ni Chuirc (sibling),Dead Eyes,Member of the Dead Eyes
Maggran,,,Humanoid,Half-elf,Druid,,Male,Medium,9.0m,12.0m,75.0kg,20,"Blur,Main Hand Attack,Produce Flame,Silence,Wild Shape: Bear",Club,,FALSE,,,,,Circle of the Emerald Grove,
Maghtew Budj,,,Humanoid,Human,Wizard,,Male,Medium,9.0m,,75.0kg,140,"Concussive Smash,Main Hand Attack,Misty Step,Ray of Sickness,Tenacity,Weakening Strike",Flail of Myrkul,,FALSE,,,,Kressa Bonedaughter (wife),Cult of Myrkul,Skull Lasher
Ward Magmar,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,24.0m,75.0kg,75,"Enlarge (Duergar),Maiming Strike,Main Hand Attack,Piercing Strike,Weakening Strike",War Pick,,FALSE,,,,,Clan Flameshade,
Fist Magnolia,,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,12.0m,75.0kg,250,"Ensnaring Strike (Ranged),Piercing Shot,Ranged Attack,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Magron,,,Humanoid,Drow,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Mahrin,,,Humanoid,Halfling,,,,Small,7.5m,,35.0kg,5,,,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Night Blade Maireadh,,,Humanoid,Human,,,,Medium,9.0m,30.0m,75.0kg,400,Main Hand Attack,Dagger,,FALSE,,,,,Cult of Bhaal,
Night Blade Majjo,,,Humanoid,Human,,,,Medium,9.0m,30.0m,75.0kg,400,Ranged Attack,Longbow,,FALSE,,,,,Cult of Bhaal,
Fist Malayah,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Rush Attack,Trip Attack (Melee)",Spear,,FALSE,,,,,Flaming Fist,
Malek Stones,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Iron Consul Malik the Cruel,,,Humanoid,Half-orc,Fighter,,,Medium,9.0m,,100.0kg,320,"Main Hand Attack,Ranged Attack,Voice of Command","Hand Crossbow,Spear +1",,FALSE,,,,,Cult of Bane,
Zealot Malik,,,Humanoid,Human,Paladin,Oath of Vengeance,Male,Medium,9.0m,,75.0kg,140,"Branding Smite,Cleave,Hamstring Shot,Lacerate,Lay on Hands: Greater Healing,Lay on Hands: Lesser Healing,Main Hand Attack,Ranged Attack,Rush Attack,Throw,Thunderous Smite,Abjure Enemy","Shortbow,Halberd",Caustic Bulb,FALSE,,,,,Cult of the Absolute,
Mama Falice,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Hazelnut (son),,
Mandii Harvestmoon,,,Humanoid,Human,,,Female,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,,,
Mango,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,The Guild,Guild Member
Gondian Manser Biggs,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,320,"Acid Splash,Grease,Melf's Acid Arrow,Misty Step",,,FALSE,,,,Lanpos Biggs (husband)Hastar Biggs (son)Grindo Biggs (son),Church of Gond,
Harper Manus,,,Humanoid,Human,Ranger,,Male,Medium,9.0m,,75.0kg,90,"Hamstring Shot,Hunter's Mark,Main Hand Attack,Piercing Strike,Ranged Attack","Shortbow,Dagger",,FALSE,,,,,Harpers,
Saer Manzarde,,,Humanoid,Elf,,,Male,Medium,10.5m,,75.0kg,1,,,,FALSE,,,,,,
Angry Mar'hyah,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,200,,,,FALSE,,,,,,
Marcoryl,,,Humanoid,Half-elf,Druid,,Male,Medium,9.0m,12.0m,75.0kg,20,"Concussive Smash,Cure Wounds,Healing Word,Lesser Restoration,Main Hand Attack,Shillelagh",Club,,FALSE,,,,,Circle of the Emerald Grove,
Margolenn,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Mari,,,Humanoid,Human,Rogue,,Female,Medium,9.0m,,75.0kg,15,"Main Hand Attack,Ranged Attack,Sneak Attack (Melee),Sneak Attack (Ranged)","Shortbow,Dagger",,FALSE,,,,,Overgrown Ruin Looters,
Marie Taylira,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,8,,,,FALSE,,,,,,
Flaming Fist Mercenary,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,4,,,,FALSE,,,,,Flaming Fist,
Chef Marjoram,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Markiza,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Marlono Rhandle,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,Dash,,,FALSE,,,,,Church of Gond,
Acolyte Marls,,,Humanoid,Human,Cleric,,Male,Medium,9.0m,,75.0kg,110,"Bless,Branding Smite (Melee),Cure Wounds,Lay on Hands: Greater Healing,Lay on Hands: Lesser Healing,Piercing Shot,Ranged Attack,Sacred Flame,Thunderous Smite",Light Crossbow,,FALSE,,,,,Cult of the Absolute,
Marpha Golewits,,,Humanoid,Human,,,,Medium,1.0m,,75.0kg,1,Unarmed Strike,,,FALSE,,,,Ben Golewits (husband)Cinta Golewits (daughter),,
Dead Toll Collector,,,Humanoid,Human,,,Male,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,,,
